22:10:42.618 [springCloudBus.anonymous.24hdWCWnSsGl_0ToZoc33g-588] WARN  o.s.a.r.l.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
22:10:42.618 [springCloudBus.anonymous.24hdWCWnSsGl_0ToZoc33g-588] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@1cfc4d7: tags=[{}], channel=null, acknowledgeMode=AUTO local queue size=0
22:10:42.618 [springCloudBus.anonymous.24hdWCWnSsGl_0ToZoc33g-589] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
22:10:49.671 [springCloudBus.anonymous.24hdWCWnSsGl_0ToZoc33g-589] WARN  o.s.a.r.l.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
22:10:49.671 [springCloudBus.anonymous.24hdWCWnSsGl_0ToZoc33g-589] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@181c574: tags=[{}], channel=null, acknowledgeMode=AUTO local queue size=0
22:10:49.672 [springCloudBus.anonymous.24hdWCWnSsGl_0ToZoc33g-590] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
22:10:56.723 [springCloudBus.anonymous.24hdWCWnSsGl_0ToZoc33g-590] WARN  o.s.a.r.l.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
22:10:56.723 [springCloudBus.anonymous.24hdWCWnSsGl_0ToZoc33g-590] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@18ffd0c: tags=[{}], channel=null, acknowledgeMode=AUTO local queue size=0
22:10:56.724 [springCloudBus.anonymous.24hdWCWnSsGl_0ToZoc33g-591] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
22:11:03.776 [springCloudBus.anonymous.24hdWCWnSsGl_0ToZoc33g-591] WARN  o.s.a.r.l.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
22:11:03.776 [springCloudBus.anonymous.24hdWCWnSsGl_0ToZoc33g-591] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@128802c: tags=[{}], channel=null, acknowledgeMode=AUTO local queue size=0
22:11:03.776 [springCloudBus.anonymous.24hdWCWnSsGl_0ToZoc33g-592] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
22:11:10.831 [springCloudBus.anonymous.24hdWCWnSsGl_0ToZoc33g-592] WARN  o.s.a.r.l.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
22:11:10.831 [springCloudBus.anonymous.24hdWCWnSsGl_0ToZoc33g-592] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@1a86929: tags=[{}], channel=null, acknowledgeMode=AUTO local queue size=0
22:11:10.832 [springCloudBus.anonymous.24hdWCWnSsGl_0ToZoc33g-593] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
22:11:17.896 [springCloudBus.anonymous.24hdWCWnSsGl_0ToZoc33g-593] WARN  o.s.a.r.l.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
22:11:17.896 [springCloudBus.anonymous.24hdWCWnSsGl_0ToZoc33g-593] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@124b79d: tags=[{}], channel=null, acknowledgeMode=AUTO local queue size=0
22:11:17.898 [springCloudBus.anonymous.24hdWCWnSsGl_0ToZoc33g-594] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
22:11:24.951 [springCloudBus.anonymous.24hdWCWnSsGl_0ToZoc33g-594] WARN  o.s.a.r.l.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
22:11:24.951 [springCloudBus.anonymous.24hdWCWnSsGl_0ToZoc33g-594] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@ded75a: tags=[{}], channel=null, acknowledgeMode=AUTO local queue size=0
22:11:24.951 [springCloudBus.anonymous.24hdWCWnSsGl_0ToZoc33g-595] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
22:11:32.000 [springCloudBus.anonymous.24hdWCWnSsGl_0ToZoc33g-595] WARN  o.s.a.r.l.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
22:11:32.000 [springCloudBus.anonymous.24hdWCWnSsGl_0ToZoc33g-595] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@189a11a: tags=[{}], channel=null, acknowledgeMode=AUTO local queue size=0
22:11:32.000 [springCloudBus.anonymous.24hdWCWnSsGl_0ToZoc33g-596] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
22:11:39.052 [springCloudBus.anonymous.24hdWCWnSsGl_0ToZoc33g-596] WARN  o.s.a.r.l.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
